execucao,custo,competitividade,energia,chegou,vivo,caminho
89,12,,-250,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
90,12,,-220,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
91,12,,-175,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
92,12,,-120,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
93,12,,-130,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
94,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
95,12,,-295,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
96,12,,-170,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
97,12,,-95,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
98,12,,-270,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
99,12,,-30,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
